Reaction test v3
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
0	5	23	41
1	5	21	40
2	43	9	27
3	27	43	11
4	22	38	5
5	23	41	6
6	9	25	43
7	41	7	23
8	9	27	43
9	41	7	25
10	25	43	9
11	21	37	5
12	9	27	43
13	24	43	8
14	21	39	5
15	43	9	27
16	23	41	6
17	3	22	38
18	43	8	27
19	27	43	11
20	25	43	8
21	9	27	43
22	37	3	21
23	5	21	39
24	39	6	23
25	41	7	25
26	38	5	21
27	23	39	5
28	39	5	23
29	23	39	6
30	26	43	10
31	41	7	25
32	4	21	39
33	25	43	8
34	9	27	43
35	19	37	3
36	4	23	39
37	7	25	43
38	23	39	7
39	37	5	21
40	39	5	23
41	7	25	43
42	39	5	23
43	7	25	43
44	41	8	25
45	8	26	43
46	41	7	25
47	24	43	8
48	25	43	8
49	7	23	42
50	39	7	23
51	37	3	21
52	5	23	39
53	23	41	7
54	25	43	9
55	9	27	45
56	43	10	27
57	8	25	43
58	41	7	25
59	40	7	23
60	6	23	41
61	7	23	41
62	5	21	39
63	43	8	26
64	5	23	39
65	25	41	7
66	43	9	27
67	27	43	11
68	21	38	3
69	40	5	22
70	7	23	41
71	4	21	39
72	25	41	7
73	7	23	41
74	3	19	37
75	3	19	37
76	38	3	21
77	25	43	8
78	39	5	23
79	5	21	40
80	43	9	27
81	37	3	21
82	21	39	5
83	23	39	6
84	37	5	21
85	27	43	9
86	21	38	3
87	5	23	39
88	27	43	11
89	8	24	43
90	19	37	3
91	3	21	39
92	41	7	25
93	10	27	45
94	10	27	45
95	27	43	11
96	7	25	41
97	39	5	23
98	9	25	43
99	11	27	45
100	9	25	43
101	5	23	39
102	43	9	27
103	23	41	6
104	21	37	3
105	8	24	43
106	26	43	8
107	3	21	39
108	37	5	21
109	21	37	5
110	21	37	5
111	39	5	23
112	25	43	9
113	37	3	21
114	3	21	39
115	7	23	41
116	26	44	10
117	23	41	7
118	27	43	9
119	3	19	37
120	39	4	23
121	41	6	24
122	25	41	8
123	3	21	37
124	38	3	21
125	26	43	8
126	9	25	43
127	9	27	43
128	27	43	7
129	37	3	21
130	37	3	21
131	21	37	5
132	3	21	37
133	41	7	25
134	37	3	21
135	21	39	5
136	5	23	39
137	6	23	41
138	7	25	41
139	29	47	11
140	23	41	7
141	23	39	7
142	5	23	41
143	9	27	43
144	25	43	9
145	43	9	27
146	21	37	5
147	37	3	21
148	25	43	9
149	6	24	41
150	7	23	41
151	38	3	21
152	43	9	27
153	60	7	25
154	42	7	25
155	27	43	11
156	9	25	43
157	3	21	37
158	23	41	7
159	19	37	3
160	9	27	45
161	26	43	10
162	40	5	22
163	21	38	5
164	5	23	39
165	7	25	41
166	6	23	41
167	4	23	39
168	37	3	21
169	7	23	41
170	41	7	25
171	43	8	27
172	5	21	39
173	7	23	41
174	41	7	25
175	21	39	5
176	8	25	43
177	21	37	5
178	27	43	10
179	9	27	43
180	3	19	37
181	5	21	39
182	9	27	45
183	43	8	26
184	4	23	39
185	41	7	25
186	25	43	9
187	39	4	23
188	25	43	9
189	23	41	7
190	7	25	42
191	37	3	21
192	7	25	41
193	58	24	42
194	26	43	8
195	43	9	27
196	21	37	4
197	37	3	21
198	21	37	5
199	23	41	7
200	38	3	21
201	27	45	10
202	9	25	43
203	21	37	5
204	19	37	3
205	42	7	23
206	9	27	43
207	38	3	21
208	21	38	5
209	9	25	43
210	21	37	5
211	9	25	43
212	43	10	27
213	21	37	5
214	41	6	25
215	40	5	23
216	11	27	45
217	23	41	7
218	7	25	42
219	23	39	7
220	37	3	21
221	21	38	5
222	25	41	9
223	3	22	38
224	41	7	23
225	41	7	25
226	37	3	21
227	23	39	5
228	5	21	39
229	25	43	9
230	40	5	21
231	5	21	39
232	25	41	8
233	41	6	25
234	27	43	10
235	7	23	41
236	27	43	10
237	8	26	43
238	21	38	3
239	3	19	37
240	25	41	9
241	39	5	23
242	25	41	9
243	9	25	43
244	25	41	8
245	43	11	27
246	7	23	41
247	37	3	21
248	9	25	43
249	41	7	23
250	6	23	41
251	27	43	9
252	8	26	43
253	45	10	27
254	7	29	47
255	43	9	27
256	23	39	7
257	43	11	27
258	21	37	5
259	22	38	5
260	8	27	43
261	23	40	7
262	43	8	26
263	27	43	10
264	6	23	41
265	23	41	6
266	27	43	11
267	6	24	43
268	6	24	41
269	21	37	3
270	41	7	25
271	5	21	39
272	6	23	41
273	25	43	9
274	7	23	41
275	5	23	39
276	39	4	23
277	23	41	7
278	5	22	40
279	38	3	22
280	21	37	3
281	7	23	42
282	9	25	43
283	5	21	39
284	41	7	23
285	21	39	5
286	3	22	38
287	23	40	7
288	25	41	9
289	21	39	4
290	43	9	25
291	23	39	7
292	5	21	40
293	9	27	43
294	25	41	9
295	21	39	5
296	38	3	21
297	3	21	37
298	6	25	41
299	23	40	7
300	38	5	22
301	37	3	21
302	39	5	23
303	11	27	49
304	27	43	11
305	23	41	7
306	5	21	39
307	27	43	11
308	21	39	5
309	7	23	42
310	25	43	9
311	7	25	41
312	23	41	7
313	41	7	25
314	39	7	23
315	43	9	27
316	19	37	3
317	27	43	11
318	3	21	38
319	6	24	41
320	7	23	41
321	25	43	9
322	41	9	25
323	39	5	23
324	43	9	27
325	9	27	43
326	23	39	7
327	39	5	23
328	41	9	25
329	8	25	43
330	9	27	45
331	41	7	25
332	27	43	11
333	9	27	43
334	39	5	23
335	8	25	43
336	41	7	25
337	23	40	7
338	11	27	45
339	40	7	23
340	25	41	7
341	9	25	43
342	23	39	7
343	5	21	39
344	9	25	43
345	41	7	25
346	8	24	43
347	23	39	7
348	23	39	5
349	25	41	7
350	39	5	23
351	5	21	43
352	25	41	7
353	40	5	23
354	25	41	9
355	25	43	9
356	41	7	23
357	24	41	8
358	23	41	7
359	21	39	5
360	21	40	5
