Reaction test v3
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
0	533	553	570
1	42	60	77
2	404	420	437
3	440	456	472
4	828	845	863
5	356	372	390
6	584	601	619
7	481	498	516
8	547	563	581
9	610	626	644
10	23	40	58
11	746	762	778
12	567	584	602
13	972	988	1005
14	937	953	971
15	791	809	825
16	819	835	851
17	310	327	343
18	475	491	1514
19	177	194	210
20	354	370	386
21	641	657	673
22	654	670	686
23	106	123	139
24	846	863	881
25	573	589	605
26	446	462	480
27	1027	7	23
28	193	209	225
29	588	604	620
30	713	730	748
31	993	1009	1026
32	706	722	738
33	7	25	41
34	976	993	1011
35	659	675	692
36	769	786	802
37	661	679	696
38	234	250	266
39	916	935	951
40	421	437	453
41	54	70	88
42	1006	1022	1040
43	1019	1035	3
44	736	752	768
45	961	977	993
46	202	218	236
47	40	56	73
48	620	636	653
49	880	897	915
50	854	870	886
51	321	338	354
52	153	169	185
53	695	711	728
54	557	573	589
55	1008	1026	1042
56	976	992	1010
57	1013	1030	1046
58	35	53	69
59	865	882	900
60	644	661	679
61	592	608	626
62	778	794	810
63	517	533	551
64	592	608	624
65	32	48	64
66	272	288	306
67	318	334	351
68	439	456	472
69	514	531	549
70	926	942	958
71	76	92	109
72	839	855	871
73	301	318	336
74	316	333	351
75	462	478	496
76	693	709	727
77	127	145	162
78	52	68	84
79	455	471	489
80	730	746	764
81	120	136	152
82	847	867	883
83	897	914	932
84	974	990	1008
85	907	923	940
86	163	179	195
87	564	580	598
88	790	806	823
89	427	443	459
90	704	720	736
91	327	343	360
92	408	424	442
93	961	977	994
94	879	895	913
95	890	906	922
96	968	985	1003
97	856	872	890
98	863	881	898
99	910	926	943
100	547	563	579
101	606	623	639
102	937	953	969
103	993	1009	1025
104	292	308	325
105	920	937	953
106	597	614	630
107	414	430	446
108	293	311	328
109	381	400	416
110	149	166	182
111	377	393	409
112	146	162	178
113	118	134	150
114	392	408	424
115	929	945	962
116	54	70	86
117	440	457	473
118	63	80	98
119	160	177	195
120	386	402	420
121	738	755	773
122	226	243	259
123	288	305	321
124	948	964	982
125	1028	7	23
126	260	278	295
127	284	301	317
128	735	751	767
129	869	886	904
130	539	557	573
131	170	186	202
132	1004	1021	1037
133	417	433	452
